_id,chaseStatus,chaseUserID,chaseType,hospID,provName,provCity,provState,clientName,clientAdmits,flag
5727a1daf4093a7d8e54dc51,PNP-NoResponse,bkramlic,Facility,203204949_MONTGOMERY_36116,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,M-R,654,N
5727a1daf4093a7d8e54dca8,PNP-Refused,athoma76,Facility,636001820_MONTGOMERY_36117,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,M-R,917,N
5727a1daf4093a7d8e54dca8,PNP-Refused,athoma76,Facility,636001820_MONTGOMERY_36117,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,C-S,1,N
5727a1daf4093a7d8e54dcbe,PNP-CopyService,athoma76,System,721608375_BESSEMER_35022,THE HEALTHCARE AUTHORITY FOR MEDICAL WES,BESSEMER,AL,M-R,711,N
5727a1daf4093a7d8e54dd00,PNP-NoResponse,bkramlic,Facility,716046242_LITTLE ROCK_72205,UNIVERSITY HOSP OF ARKANSAS,LITTLE ROCK,AR,M-R,478,N
5727a1daf4093a7d8e54dd25,Completed,rsumra,Facility,463533638_GLENDALE_85307,ST JOSEPHS WESTGATE MEDICAL CENTER,GLENDALE,AZ,M-R,7,Y
5727a1daf4093a7d8e54dd25,Completed,rsumra,Facility,463533638_GLENDALE_85307,ST JOSEPHS WESTGATE MEDICAL CENTER,GLENDALE,AZ,C-S,1,Y
5727a1daf4093a7d8e54dd2a,PNP-Refused,dking122,Facility,471587223_CHANDLER_85225,DHAGH MCQUEEN,CHANDLER,AZ,C-S,5,N
5727a1daf4093a7d8e54dd4b,PNP-CopyService,lmanlang,Facility,860100882_COTTONWOOD_86326,VERDE VALLEY MEDICAL CNTR,COTTONWOOD,AZ,M-R,406,N
5727a1daf4093a7d8e54dd4b,PNP-CopyService,lmanlang,Facility,860100882_COTTONWOOD_86326,VERDE VALLEY MEDICAL CNTR,COTTONWOOD,AZ,C-S,21,N
5727a1dbf4093a7d8e54dd7c,Completed,ymorris2,System,860830701_PHOENIX_85038,MARICOPA MEDICAL CENTER-PHOENIX,PHOENIX,AZ,HNT,1,Y
5727a1dbf4093a7d8e54dd80,PNP-NoResponse,nconigl,Facility,861035549_MESA_85207,BANNER HEART HOSPITAL,MESA,AZ,UCR,1,N
5727a1dbf4093a7d8e54dd82,Completed,nnargotr,Facility,866007596_YUMA_85364,YUMA REGIONAL MEDICAL CENTER,YUMA,AZ,M-R,35,Y
